match	id_A	token_A	id_B	token_B
2	0-0	eh	0-0	e
0	0-1	come	0-1	come
1	0-2	tabacco	_	_
2	0-3	no	0-2	xxxx
2	0-4	eh	1-0	okay
2	0-5	di	2-0	e
0	0-6	là	2-1	là
0	0-7	{P}	2-2	{P}
0	0-8	lavorando	2-3	lavorando
0	0-9	più	2-4	più
0	0-10	di	2-5	di
2	0-11	tre-	2-6	tre
0	0-12	tremila	2-7	tremila
0	0-13	persone	2-8	persone
1	_	_	3-0	mh
0	0-14	non	4-0	non
0	0-15	sono	4-1	sono
0	0-16	esattamente	4-2	esattamente
0	0-17	o	4-3	o
0	0-18	tremila	4-4	tremila
0	0-19	o	4-5	o
0	0-20	trentamila	4-6	trentamila
0	0-21	ma	4-7	ma
0	0-22	tremila	4-8	tremila
0	0-23	che	4-9	che
0	0-24	facciamo	4-10	facciamo
1	1-0	okay	_	_
1	2-0	mhmh	_	_
0	3-0	mhmh	5-0	mhmh
0	4-0	ma	6-0	ma
1	4-1	{P}	_	_
0	4-2	non	6-1	non
0	4-3	si	6-2	si
0	4-4	trovano	6-3	trovano
0	4-5	adesso	6-4	adesso
0	4-6	neanche	6-5	neanche
0	4-7	là	6-6	là
0	4-8	gli	6-7	gli
0	4-9	appartamenti	6-8	appartamenti
0	5-0	eh	7-0	eh
0	5-1	esatto	7-1	esatto
0	5-2	te	7-2	te
0	5-3	lo	7-3	lo
0	5-4	era	7-4	era
0	5-5	{P}	7-5	{P}
0	5-6	questo	7-6	questo
0	5-7	che	7-7	che
0	5-8	volevo	7-8	volevo
0	5-9	chiederti	7-9	chiederti
0	6-0	perché	8-0	perché
2	7-0	eh	9-0	ah
0	7-1	sì	9-1	sì
0	8-0	se	10-0	se
0	8-1	tutti	10-1	tutti
0	8-2	vogliono	10-2	vogliono
0	8-3	vivere	10-3	vivere
0	8-4	lì	10-4	lì
0	9-0	sì	11-0	sì
1	9-1	{P}	_	_
0	9-2	non	11-1	non
0	9-3	si	11-2	si
0	9-4	trovano	11-3	trovano
0	9-5	appartamenti	11-4	appartamenti
1	9-6	{P}	_	_
0	9-7	la	12-0	la
0	9-8	verità	12-1	verità
1	10-0	mhmh	_	_
0	11-0	mhmh	13-0	mhmh
0	12-0	piuttosto	14-0	piuttosto
0	12-1	che	14-1	che
1	_	_	14-2	{P}
0	12-2	ci	14-3	ci
0	12-3	sono	14-4	sono
0	12-4	un	14-5	un
0	12-5	sacco	14-6	sacco
0	12-6	di	14-7	di
2	12-7	gente	14-8	aziende
0	13-0	come	15-0	come
0	13-1	non	15-1	non
0	13-2	vuole	15-2	vuole
0	13-3	dare	15-3	dare
1	13-4	{P}	_	_
0	13-5	appartamenti	15-4	appartamenti
0	13-6	per	15-5	per
0	13-7	la	15-6	la
0	13-8	famiglia	15-7	famiglia
0	14-0	un	16-0	un
0	14-1	po'	16-1	po'
0	14-2	che	16-2	che
0	14-3	danno	16-3	danno
