tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.0	0.92	0.92	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	per 4	per quattro	per quattro
1	SP2	3.0	5.28	2.28	True	False	0	1	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	no un chilo e 700 grammi di pasta	no un chilo e settecento grammi di pasta	no un chilo e settecento grammi di pasta
2	SP1	5.52	7.94	2.42	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	eh vabb[è perché quello] il padre se ne mangia assai io so	eh vabb[è perché quello] il padre se ne mangia assai io so	eh vabbè perché quello il padre se ne mangia assai io so
3	SP2	5.779	6.455	0.676	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[con due]	[con due]	con due
4	SP2	8.08	11.048	2.968	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	il padre va e ne mangia:: ne mangia una scotella di insalata	il padre va e ne mangia:: ne mangia una scotella di insalata	il padre va e ne mangia ne mangia una scotella di insalata
5	SP1	11.075	11.524	0.449	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	a:h	a:h	ah
6	SP2	13.98	18.441	4.461	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	con due vasetti del pesto quello là barilla:: [rico-]	con due vasetti del pesto quello là barilla:: [rico-]	con due vasetti del pesto quello là barilla rico-
7	SP1	17.903	20.117	2.214	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[eh ma] grazie settecento grammi di pasta	[eh ma] grazie settecento grammi di pasta	eh ma grazie settecento grammi di pasta
8	SP2	20.724	21.889	1.165	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ricotta e noci	ricotta e noci	ricotta e noci
9	SP2	22.165	24.958	2.793	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	non contenta (.) il fiordilatte dentro	non contenta {P} il fiordilatte dentro	non contenta {P} il fiordilatte dentro
10	SP2	25.262	27.972	2.71	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	non contenta (.) il parmigiano sopra	non contenta {P} il parmigiano sopra	non contenta {P} il parmigiano sopra
11	SP1	29.0	29.931	0.931	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	e lo (scono)	e lo (scono)	e lo scono
12	SP2	30.72	34.04	3.32	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	16	non contento mi ha detto eh se c'avevo gli xx ci mettevo pure le noci sopra	non contento mi ha detto eh se c'avevo gli xx ci mettevo pure le noci sopra	non contento mi ha detto eh se c' avevo gli x ci mettevo pure le noci sopra
13	SP1	34.24	35.013	0.773	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[no::]	[no::]	no
14	SP3	34.296	34.951	0.655	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[(bravo)]	[(bravo)]	bravo
15	SP1	35.51	36.627	1.117	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	che bravo	che bravo	che bravo
