tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	Error rate	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.12	1.86	1.74	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	va be' era leggera però	va be' era leggera però	va be' era leggera però
2	SP2	2.04	3.14	1.1	True	0	0	0	0	0	0	False	False	False	False	True	3=0.010	NOT SIGNIFICANT	0	0	0	5	no no no è vero	no no no è vero	no no no è vero
3	SP3	3.13	3.38	0.25	True	0	0	0	0	0	0	False	False	False	False	True	2=0.010	NOT SIGNIFICANT	0	0	0	1	sì	sì	sì
4	SP3	4.12	5.4	1.28	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	non era pesantissima	non era pesantissima	non era pesantissima
5	SP1	6.48	7.24	0.76	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	per niente	per niente	per niente
6	SP3	7.5	9.56	2.06	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	2	7	l'unica cosa ho esagerato un po' con l'olio forse	l'unica cosa ho esagerato un po' con l'olio forse	l'unica cosa ho esagerato un po' con l'olio forse
7	SP1	10.8	12.16	1.36	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	3	ma nell'impasto no fuori	ma nell'impasto no fuori	ma nell'impasto no fuori
8	SP3	12.16	14.36	2.2	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	6	fuori nell'impasto ci ho me[sso il giusto]	fuori nell'impasto ci ho me[sso il giusto]	fuori nell'impasto ci ho messo il giusto
9	SP2	13.362	14.444	1.082	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	[nella padella]	[nella padella]	nella padella
10	SP3	14.72	15.66	0.94	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	però in padella	però in padella	però in padella
11	SP3	16.92	19.25	2.33	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	8	xx ha detto metti: quello là l'olio da friggere	xx ha detto metti: quello là l'olio da friggere	xx ha detto metti quello là l'olio da friggere
12	SP3	19.56	20.58	1.02	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	così vengono meglio	così vengono meglio	così vengono meglio
13	SP3	20.88	21.72	0.84	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	ho detto okay	ho detto okay	ho detto okay
14	SP3	22.28	23.84	1.56	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	e ho fatto però praticamente	e ho fatto però praticamente	e ho fatto però praticamente
15	SP3	24.1	25.56	1.46	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	ho messo:	ho messo:	ho messo
16	SP3	25.64	28.06	2.42	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	11	tutto l- tutto il fondo della padella era pieno di olio	tutto l- tutto il fondo della padella era pieno di olio	tutto l- tutto il fondo della padella era pieno di olio
17	SP3	29.38	30.39	1.01	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	io volevo mettere un filo	io volevo mettere un filo	io volevo mettere un filo
18	SP3	30.39	31.54	1.15	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	sai per farle venire	sai per farle venire	sai per farle venire
19	SP3	31.54	32.78	1.24	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	mezzi tra:	mezzi tra:	mezzi tra
20	SP3	34.82	35.64	0.82	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	c(io)è cotti	c(io)è cotti	cioè cotti
21	SP3	35.76	36.944	1.184	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	nella padella unta	nella padella unta	nella padella unta
22	SP3	36.993	37.637	0.644	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	invece	invece	invece
23	SP3	38.84	39.8	0.96	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	i primi sono venuti un po'	i primi sono venuti un po'	i primi sono venuti un po'
24	SP3	39.8	41.281	1.481	True	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	3	deep fried quasi ((ride))	deep fried quasi {ride}	deep fried quasi {ride}
25	SP1	43.293	43.68	0.387	True	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	0	((tossisce))	{tossisce}	{tossisce}
26	SP1	43.82	45.66	1.84	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	beh oggi abbiamo fatto colazione con	beh oggi abbiamo fatto colazione con	beh oggi abbiamo fatto colazione con
27	SP1	45.66	47.38	1.72	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	pan- pancake con nutella	pan- pancake con nutella	pan- pancake con nutella
28	SP3	47.6	49.52	1.92	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	è rimasto un altro pancake se vuoi	è rimasto un altro pancake se vuoi	è rimasto un altro pancake se vuoi
29	SP2	49.555	50.719	1.164	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	uh [xxxx]	uh [xxxx]	uh xxxx
30	SP3	49.74	51.72	1.98	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	12	[mangiati tu il pan]cake che io mangio il gelato che ne dici?	[mangiati tu il pan]cake che io mangio il gelato che ne dici?	mangiati tu il pancake che io mangio il gelato che ne dici
31	SP1	53.056	54.7	1.644	True	0	0	0	0	0	0	False	False	False	False	True	32=0.769	HIGH	0	0	0	7	(te lo tiro in) faccia sto pancake	(te lo tiro in) faccia sto pancake	te lo tiro in faccia sto pancake
32	SP2	53.174	53.943	0.769	True	0	0	0	0	0	0	False	False	False	False	True	31=0.769	HIGH	0	0	0	1	stronzo	stronzo	stronzo
33	SP1	55.256	56.48	1.224	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	poi è rimasto	poi è rimasto	poi è rimasto
34	SP1	56.72	58.14	1.42	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	poi abbiamo mangiato	poi abbiamo mangiato	poi abbiamo mangiato
35	SP3	58.3	59.594	1.294	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	io [a pranzo ho esagerato]	io [a pranzo ho esagerato]	io a pranzo ho esagerato
36	SP1	58.35	59.587	1.237	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	[xxxxx nonna]	[xxxxx nonna]	xxxxx nonna
37	SP1	60.4	62.4	2.0	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	1	5	quattro gelati s'ha mangiato sto porc	quattro gelati s'ha mangiato sto porc	quattro gelati s'ha mangiato sto porc
38	SP3	62.412	63.912	1.5	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	quattro gelati non è ve-	quattro gelati non è ve-	quattro gelati non è ve-
39	SP3	63.94	66.575	2.635	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	xxxxxx abbiamo mangiato la stessa quantità di gelato	xxxxxx abbiamo mangiato la stessa quantità di gelato	xxxxxx abbiamo mangiato la stessa quantità di gelato
40	SP1	67.16	68.394	1.234	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	tu ne hai mangiati di più	tu ne hai mangiati di più	tu ne hai mangiati di più
41	SP3	68.425	69.262	0.837	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	no roberto	no roberto	no roberto
42	SP1	69.544	70.925	1.381	True	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	hai mangiato il pan di stelle	hai mangiato il pan di stelle	hai mangiato il pan di stelle
