match	id_A	token_A	id_B	token_B
0	0-0	per	0-0	per
0	0-1	quattro	0-1	quattro
0	1-0	no	1-0	no
1	1-1	n~	_	_
0	1-2	un	1-1	un
1	_	_	1-2	chilo
2	1-3	kilo	1-3	e
0	1-4	settecento	1-4	settecento
0	1-5	grammi	1-5	grammi
0	1-6	di	1-6	di
0	1-7	pasta	1-7	pasta
0	2-0	eh	2-0	eh
0	2-1	vabbè	2-1	vabbè
1	2-2	ma	_	_
0	2-3	perché	2-2	perché
0	2-4	quello	2-3	quello
0	2-5	il	2-4	il
0	2-6	padre	2-5	padre
0	2-7	se	2-6	se
0	2-8	ne	2-7	ne
0	2-9	mangia	2-8	mangia
0	2-10	assai	2-9	assai
0	2-11	io	2-10	io
0	2-12	so	2-11	so
0	3-0	con	3-0	con
0	3-1	due	3-1	due
0	4-0	il	4-0	il
0	4-1	padre	4-1	padre
1	_	_	4-2	va
2	4-2	man~	4-3	e
0	4-3	ne	4-4	ne
0	4-4	mangia	4-5	mangia
0	4-5	ne	4-6	ne
0	4-6	mangia	4-7	mangia
0	4-7	una	4-8	una
2	4-8	scodella	4-9	scotella
2	4-9	da	4-10	di
0	4-10	insalata	4-11	insalata
2	5-0	eh	5-0	ah
0	6-0	con	6-0	con
0	6-1	due	6-1	due
0	6-2	vasetti	6-2	vasetti
0	7-0	del	6-3	del
0	7-1	pesto	6-4	pesto
0	7-2	quello	6-5	quello
0	7-3	là	6-6	là
0	7-4	barilla	6-7	barilla
1	_	_	6-8	rico-
1	_	_	7-0	eh
2	8-0	vabbè	7-1	ma
0	8-1	grazie	7-2	grazie
1	8-2	con	_	_
0	8-3	settecento	7-3	settecento
0	8-4	grammi	7-4	grammi
0	8-5	di	7-5	di
0	8-6	pasta	7-6	pasta
1	9-0	rico~	_	_
0	10-0	ricotta	8-0	ricotta
0	10-1	e	8-1	e
0	10-2	noci	8-2	noci
0	11-0	non	9-0	non
0	11-1	contenta	9-1	contenta
1	_	_	9-2	{P}
0	12-0	il	9-3	il
1	12-1	fior	_	_
1	12-2	di	_	_
2	12-3	latte	9-4	fiordilatte
0	12-4	dentro	9-5	dentro
0	13-0	non	10-0	non
0	13-1	contenta	10-1	contenta
1	_	_	10-2	{P}
0	14-0	il	10-3	il
0	14-1	parmigiano	10-4	parmigiano
0	14-2	sopra	10-5	sopra
0	15-0	e	11-0	e
2	15-1	non	11-1	lo
2	15-2	stona	11-2	scono
0	16-0	non	12-0	non
2	16-1	contenta	12-1	contento
0	16-2	mi	12-2	mi
0	16-3	ha	12-3	ha
0	16-4	detto	12-4	detto
0	16-5	eh	12-5	eh
0	16-6	se	12-6	se
0	16-7	c'	12-7	c'
0	16-8	avevo	12-8	avevo
1	_	_	12-9	gli
2	16-9	le	12-10	x
2	16-10	noci	12-11	ci
0	16-11	mettevo	12-12	mettevo
0	16-12	pure	12-13	pure
0	16-13	le	12-14	le
0	16-14	noci	12-15	noci
0	16-15	sopra	12-16	sopra
0	17-0	no	13-0	no
1	_	_	14-0	bravo
2	18-0	marò	15-0	che
2	19-0	esagerata	15-1	bravo
2	20-0	ua	16-0	ma
0	20-1	mi	16-1	mi
0	20-2	piacevano	16-2	piacevano
0	20-3	tanto	16-3	tanto
0	20-4	quelle	16-4	quelle
0	20-5	zucchine	16-5	zucchine
0	20-6	le	16-6	le
0	20-7	avete	16-7	avete
0	20-8	mangiate	16-8	mangiate
0	20-9	tutte	16-9	tutte
1	21-0	mh	_	_
0	22-0	sorry	17-0	sorry
1	_	_	17-1	{P}
0	23-0	te	17-2	te
0	23-1	le	17-3	le
0	23-2	rifaccio	17-4	rifaccio
0	23-3	prima	17-5	prima
0	23-4	che	17-6	che
0	23-5	te	17-7	te
0	23-6	ne	17-8	ne
0	23-7	vai	17-9	vai
1	_	_	18-0	mhmh
2	24-0	eh	19-0	{ride}
2	25-0	prima	19-1	ma
0	25-1	che	19-2	che
0	25-2	te	19-3	te
0	25-3	ne	19-4	ne
0	25-4	vai	19-5	vai
0	26-0	mh	20-0	mh
1	27-0	è	_	_
2	27-1	lui	21-0	ti
2	27-2	che	21-1	piace
2	27-3	va	21-2	andar
0	27-4	via	21-3	via
0	28-0	sai	22-0	sai
0	28-1	che	22-1	che
0	28-2	possiamo	22-2	possiamo
0	28-3	fare	22-3	fare
1	29-0	mhmh	_	_
2	30-0	no	23-0	ah
0	31-0	con	24-0	con
0	31-1	questa	24-1	questa
2	31-2	zucchinona	24-2	zucchina
0	31-3	gigante	24-3	gigante
0	31-4	che	24-4	che
0	31-5	tengo	24-5	tengo
1	31-6	{P}	_	_
0	31-7	la	24-6	la
0	31-8	vogliamo	24-7	vogliamo
0	31-9	arrostire	24-8	arrostire
0	32-0	adesso	25-0	adesso
0	32-1	tipo	25-1	tipo
0	33-0	cioè	25-2	cioè
0	33-1	non	25-3	non
0	33-2	ce	25-4	ce
0	33-3	la	25-5	la
0	33-4	mangiamo	25-6	mangiamo
0	33-5	adesso	25-7	adesso
0	33-6	però	25-8	però
1	_	_	25-9	{P}
0	34-0	lo	25-10	lo
0	34-1	facciamo	25-11	facciamo
0	34-2	per	25-12	per
0	34-3	domani	25-13	domani
1	_	_	25-14	non
2	34-4	magari	25-15	è
0	35-0	va	26-0	va
0	35-1	bene	26-1	bene
0	36-0	ma	27-0	ma
0	36-1	perché	27-1	perché
0	36-2	la	27-2	la
0	36-3	zucchinona	27-3	zucchinona
0	36-4	non	27-4	non
0	36-5	l'	27-5	l'
0	36-6	avevi	27-6	avevi
0	36-7	già	27-7	già
