tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.18	0.92	0.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	(per quattro)	(per quattro)	per quattro
1	SP2	3.02	5.43	2.41	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	Non (uno chilo) settecento grammi di pasta	Non (uno chilo) settecento grammi di pasta	non uno chilo settecento grammi di pasta
2	SP1	5.52	8.15	2.63	True	True	0	0	0	0	0	0	0	0	False	False	False	False	True	3=0.800	False	0	0	0	11	# e vabbé (ma quello è il padre sai mando sta) so	e vabbé (ma quello è il padre sai mando sta) so	e vabbé ma quello è il padre sai mando sta so
3	SP2	5.52	6.32	0.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[(con quell-)]	[(con quell-)]	con quell-
4	SP2	8.34	11.114999999999998	2.78	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	10	il padre man- mangia: ne mangia una scodella di insalata	il padre man- mangia: ne mangia una scodella di insalata	il padre man- mangia ne mangia una scodella di insalata
5	SP1	11.114999999999998	11.39	0.28	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	1	Ah	Ah	ah
6	SP2	14.01	17.65	3.64	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	Con Due Vasetti del pesto quello là barilla:	Con Due Vasetti del pesto quello là barilla:	con due vasetti del pesto quello là barilla
7	SP1	17.98	20.02	2.04	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	1, t-t-	9	[vabbé tan]to e t-t- tutti e due (programmi) di pasta	[vabbé tan]to e t-t- tutti e due (programmi) di pasta	vabbé tanto e t-t- tutti e due programmi di pasta
8	SP2	18.0	18.51	0.51	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[(e poi)]	[(e poi)]	e poi
9	SP2	20.72	21.78	1.06	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ricotte e noci'	ricotte e noci'	ricotte e noci'
10	SP2	22.2	23.22	1.02	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	non contenta	non contenta	non contenta
11	SP2	23.45	24.85	1.4	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	il fior di latte dentro	il fior di latte dentro	il fior di latte dentro
12	SP2	25.28	26.25	0.97	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	non contenta	non contenta	non contenta
13	SP2	26.65	27.89	1.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	il parmigiano sopra	il parmigiano sopra	il parmigiano sopra
14	SP1	28.98	29.83	0.85	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	(e non stono)?	(e non stono)?	e non stono
15	SP2	30.76	33.93	3.17	True	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	# non contenta (per tutta la sessione uagliò) ci metto pure le noci sopra	non contenta (per tutta la sessione uagliò) ci metto pure le noci sopra	non contenta per tutta la sessione uagliò ci metto pure le noci sopra
16	SP3	34.29	34.62	0.33	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[no]?	[no]?	no
17	SP1	34.3	34.83	0.53	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[no]:	[no]:	no
18	SP1	35.57	36.32	0.75	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	(ti prego)	(ti prego)	ti prego
