tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.0	0.82	0.82	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	per quattro?	per quattro?	per quattro
1	SP2	3.0	5.28	2.28	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	no un chilo settecento grammi di pasta	no un chilo settecento grammi di pasta	no un chilo settecento grammi di pasta
2	SP1	5.4	7.94	2.54	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	eh [vabbè ma] perché quello il padre se ne mangia assai io so	eh [vabbè ma] perché quello il padre se ne mangia assai io so	eh vabbè ma perché quello il padre se ne mangia assai io so
3	SP2	5.58	6.05	0.47	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[con due]	[con due]	con due
4	SP2	8.08	11.08	3.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	il padre va e ne mangia: ne mangia una scodella di insalata	il padre va e ne mangia: ne mangia una scodella di insalata	il padre va e ne mangia ne mangia una scodella di insalata
5	SP1	11.115	11.413	0.298	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	eh	eh	eh
6	SP2	13.98	17.73	3.75	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	con due vasetti del pesto quello là barilla:	con due vasetti del pesto quello là barilla:	con due vasetti del pesto quello là barilla
7	SP1	18.015	20.035	2.02	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[vabbè] grazie *co settecento grammi di pasta	[vabbè] grazie co settecento grammi di pasta	vabbè grazie co settecento grammi di pasta
8	SP2	18.015	18.3	0.285	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[rico-]	[rico-]	rico-
9	SP2	20.7	21.621	0.921	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ricotta e noci,	ricotta e noci,	ricotta e noci
