tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.065	1.139	1.074	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	per quattro	per quattro	per quattro
2	SP2	3.02	5.467	2.447	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	non un chilo settecento grammi di pasta	non un chilo settecento grammi di pasta	non un chilo settecento grammi di pasta
3	SP1	5.673	7.849	2.176	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	e [vabbè ma] perché quello il pane se ne mangia assai io so	e [vabbè ma] perché quello il pane se ne mangia assai io so	e vabbè ma perché quello il pane se ne mangia assai io so
4	SP2	5.717	6.105	0.388	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[con due]	[con due]	con due
5	SP2	8.276	11.052	2.776	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	il padre van- mangia: ne mangia una scodella d'insalata	il padre van- mangia: ne mangia una scodella d'insalata	il padre van- mangia ne mangia una scodella d' insalata
6	SP1	11.12	11.473	0.353	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ah	ah	ah
7	SP2	13.962	17.829	3.867	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	con due vasetti del pesto quello là barilla:	con due vasetti del pesto quello là barilla:	con due vasetti del pesto quello là barilla
8	SP1	18.084	20.084	2.0	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[vabbè] grazie so settecento grammi di pasta	[vabbè] grazie so settecento grammi di pasta	vabbè grazie so settecento grammi di pasta
9	SP2	18.084	18.332	0.248	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[un po']	[un po']	un po'
10	SP2	20.719	28.106	7.387	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	ricotta e noci non contenta il fior di latte dentro non contenta il parmigiano sopra	ricotta e noci non contenta il fior di latte dentro non contenta il parmigiano sopra	ricotta e noci non contenta il fior di latte dentro non contenta il parmigiano sopra
11	SP1	28.931	30.165	1.234	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	che non stona:	che non stona:	che non stona
