match	id_A	token_A	id_B	token_B
0	0-0	per	0-0	per
0	0-1	quattro	0-1	quattro
0	1-0	no	1-0	no
1	1-1	n~	_	_
0	1-2	un	1-1	un
2	1-3	kilo	1-2	chilo
0	1-4	settecento	1-3	settecento
0	1-5	grammi	1-4	grammi
0	1-6	di	1-5	di
0	1-7	pasta	1-6	pasta
0	2-0	eh	2-0	eh
0	2-1	vabbè	2-1	vabbè
0	2-2	ma	2-2	ma
0	2-3	perché	2-3	perché
0	2-4	quello	2-4	quello
0	2-5	il	2-5	il
0	2-6	padre	2-6	padre
0	2-7	se	2-7	se
0	2-8	ne	2-8	ne
0	2-9	mangia	2-9	mangia
0	2-10	assai	2-10	assai
0	2-11	io	2-11	io
0	2-12	so	2-12	so
0	3-0	con	3-0	con
0	3-1	due	3-1	due
0	4-0	il	4-0	il
0	4-1	padre	4-1	padre
1	_	_	4-2	va
2	4-2	man~	4-3	e
0	4-3	ne	4-4	ne
0	4-4	mangia	4-5	mangia
0	4-5	ne	4-6	ne
0	4-6	mangia	4-7	mangia
0	4-7	una	4-8	una
0	4-8	scodella	4-9	scodella
2	4-9	da	4-10	di
0	4-10	insalata	4-11	insalata
0	5-0	eh	5-0	eh
0	6-0	con	6-0	con
0	6-1	due	6-1	due
0	6-2	vasetti	6-2	vasetti
0	7-0	del	6-3	del
0	7-1	pesto	6-4	pesto
0	7-2	quello	6-5	quello
0	7-3	là	6-6	là
0	7-4	barilla	6-7	barilla
0	8-0	vabbè	7-0	vabbè
0	8-1	grazie	7-1	grazie
2	8-2	con	7-2	co
0	8-3	settecento	7-3	settecento
0	8-4	grammi	7-4	grammi
0	8-5	di	7-5	di
0	8-6	pasta	7-6	pasta
2	9-0	rico~	8-0	rico-
0	10-0	ricotta	9-0	ricotta
0	10-1	e	9-1	e
0	10-2	noci	9-2	noci
0	11-0	non	10-0	non
0	11-1	contenta	10-1	contenta
0	12-0	il	11-0	il
1	12-1	fior	_	_
1	12-2	di	_	_
2	12-3	latte	11-1	fiordilatte
0	12-4	dentro	11-2	dentro
0	13-0	non	12-0	non
0	13-1	contenta	12-1	contenta
0	14-0	il	13-0	il
0	14-1	parmigiano	13-1	parmigiano
0	14-2	sopra	13-2	sopra
0	15-0	e	14-0	e
2	15-1	non	14-1	lo
0	15-2	stona	14-2	stona
0	16-0	non	15-0	non
0	16-1	contenta	15-1	contenta
0	16-2	mi	15-2	mi
0	16-3	ha	15-3	ha
0	16-4	detto	15-4	detto
0	16-5	eh	15-5	eh
0	16-6	se	15-6	se
0	16-7	c'	15-7	c'
0	16-8	avevo	15-8	avevo
0	16-9	le	15-9	le
0	16-10	noci	15-10	noci
0	16-11	mettevo	15-11	mettevo
0	16-12	pure	15-12	pure
0	16-13	le	15-13	le
0	16-14	noci	15-14	noci
0	16-15	sopra	15-15	sopra
1	_	_	16-0	no
1	_	_	17-0	ah
0	17-0	no	17-1	no
2	18-0	marò	18-0	che
2	19-0	esagerata	18-1	bravo
0	20-0	ua	19-0	ua
0	20-1	mi	19-1	mi
0	20-2	piacevano	19-2	piacevano
0	20-3	tanto	19-3	tanto
0	20-4	quelle	19-4	quelle
0	20-5	zucchine	19-5	zucchine
0	20-6	le	19-6	le
0	20-7	avete	19-7	avete
0	20-8	mangiate	19-8	mangiate
0	20-9	tutte	19-9	tutte
0	21-0	mh	20-0	mh
0	22-0	sorry	21-0	sorry
0	23-0	te	21-1	te
0	23-1	le	21-2	le
0	23-2	rifaccio	21-3	rifaccio
0	23-3	prima	21-4	prima
0	23-4	che	21-5	che
0	23-5	te	21-6	te
0	23-6	ne	21-7	ne
0	23-7	vai	21-8	vai
0	24-0	eh	22-0	eh
1	_	_	23-0	{ride}
0	25-0	prima	23-1	prima
0	25-1	che	23-2	che
0	25-2	te	23-3	te
0	25-3	ne	23-4	ne
0	25-4	vai	23-5	vai
0	26-0	mh	24-0	mh
1	_	_	25-0	dov'
0	27-0	è	25-1	è
1	27-1	lui	_	_
0	27-2	che	25-2	che
0	27-3	va	25-3	va
0	27-4	via	25-4	via
0	28-0	sai	26-0	sai
0	28-1	che	26-1	che
0	28-2	possiamo	26-2	possiamo
0	28-3	fare	26-3	fare
2	29-0	mhmh	27-0	x
0	30-0	no	28-0	no
0	31-0	con	29-0	con
0	31-1	questa	29-1	questa
0	31-2	zucchinona	29-2	zucchinona
0	31-3	gigante	29-3	gigante
0	31-4	che	29-4	che
0	31-5	tengo	29-5	tengo
1	31-6	{P}	_	_
0	31-7	la	29-6	la
0	31-8	vogliamo	29-7	vogliamo
0	31-9	arrostire	29-8	arrostire
0	32-0	adesso	30-0	adesso
0	32-1	tipo	30-1	tipo
0	33-0	cioè	30-2	cioè
0	33-1	non	30-3	non
0	33-2	ce	30-4	ce
0	33-3	la	30-5	la
0	33-4	mangiamo	30-6	mangiamo
0	33-5	adesso	30-7	adesso
0	33-6	però	30-8	però
0	34-0	lo	30-9	lo
0	34-1	facciamo	30-10	facciamo
0	34-2	per	30-11	per
0	34-3	domani	30-12	domani
0	34-4	magari	30-13	magari
0	35-0	va	31-0	va
0	35-1	bene	31-1	bene
0	36-0	ma	32-0	ma
0	36-1	perché	32-1	perché
0	36-2	la	32-2	la
0	36-3	zucchinona	32-3	zucchinona
0	36-4	non	32-4	non
0	36-5	l'	32-5	l'
0	36-6	avevi	32-6	avevi
0	36-7	già	32-7	già
0	36-8	fatta	32-8	fatta
2	37-0	amo'	33-0	amore
0	37-1	erano	33-1	erano
0	37-2	due	33-2	due
0	37-3	zucchinone	33-3	zucchinone
