tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.744	1.116	0.372	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	bene	bene	bene
2	SP1	1.844	2.216	0.372	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	allora	allora	allora
3	SP1	2.788	3.505	0.717	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	intanto,	intanto,	intanto
4	SP1	4.311	5.661	1.35	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ero curiosa di sapere	ero curiosa di sapere	ero curiosa di sapere
5	SP1	5.877	7.711	1.834	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	8	da quanto tempo c'è questo negozio perchè	da quanto tempo c'è questo negozio perché	da quanto tempo c' è questo negozio perché
6	SP1	7.811	8.666	0.855	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	io sono di qui	io sono di qui	io sono di qui
7	SP1	9.194	11.616	2.422	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	e frequento un po' questa zona ma non l'avevo mai visto	e frequento un po' questa zona ma non l'avevo mai visto	e frequento un po' questa zona ma non l' avevo mai visto
8	SP2	11.824	13.099	1.275	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	5	no (.) [eh non è così]	no {P} [eh non è così]	no {P} eh non è così
9	SP1	12.344	13.294	0.95	True	0	0	0	0	0	0	0	False	False	False	False	True	8=0.755	0	0	0	1	[stranamen]t[e]	[stranamen]t[e]	stranamente
10	SP2	13.305	15.966	2.761	True	0	0	0	0	0	0	1	False	False	False	False	True	_	2	0	0	7	[que]sto negozio (.) è già (.) da ventidue anni	[que]sto negozio {P} è già {P} da ventidue anni	questo negozio {P} è già {P} da ventidue anni
11	SP1	16.216	16.783	0.567	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	oka[y]	oka[y]	okay
12	SP2	16.683	21.911	5.228	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	21	[s]on[o qui da sei an]ni no no n- questo qua non è nuovo è di: prima era una casa editrice vaesi	[s]on[o qui da sei an]ni no no n- questo qua non è nuovo è di: prima era una casa editrice vaesi	sono qui da sei anni no no n- questo qua non è nuovo è di prima era una casa editrice vaesi
13	SP1	16.861	17.949	1.088	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[quin(di) non è nuovo]	[quin(di) non è nuovo]	quindi non è nuovo
14	SP2	22.672	28.217	5.545	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	poi hanno:: <chiuso> allora: già comprato un'altra persona e ha fatta copisteria	poi hanno:: <chiuso> allora: già comprato un'altra persona e ha fatta copisteria	poi hanno chiuso allora già comprato un' altra persona e ha fatta copisteria
15	SP1	28.261	28.688	0.427	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
16	SP2	29.188	33.511	4.323	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	poi io sono da terza mano che:: i:: andando avanti	poi io sono da terza mano che:: i:: andando avanti	poi io sono da terza mano che i andando avanti
17	SP1	33.638	33.949	0.311	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
