tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.0	0.668	0.668	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	per quATTRO?	per quATTRO?	per quattro
1	SP2	2.903	5.147	2.244	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	no n~ un kilo settecento grammi di pasta	no n~ un kilo settecento grammi di pasta	no n~ un kilo settecento grammi di pasta
2	SP1	5.355	7.859	2.504	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	eh [vabbè ma] perché quello il padre se ne mangia assai io so	eh [vabbè ma] perché quello il padre se ne mangia assai io so	eh vabbè ma perché quello il padre se ne mangia assai io so
3	SP2	5.545	5.893	0.348	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[con due]	[con due]	con due
4	SP2	8.036	10.887	2.851	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	il padre man~ ne mangia:: ne mangia una scodella da insalata	il padre man~ ne mangia:: ne mangia una scodella da insalata	il padre man~ ne mangia ne mangia una scodella da insalata
5	SP1	10.903	11.129	0.226	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	eh	eh	eh
6	SP2	13.767	15.168	1.401	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	con <DUE VASETTI>	con <DUE VASETTI>	con due vasetti
7	SP2	15.561	17.495	1.934	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	del pesto quello là barilla::	del pesto quello là barilla::	del pesto quello là barilla
8	SP1	17.716	19.785	2.069	True	False	0	0	0	0	0	0	0	0	False	False	False	True	True	9=0.305	False	0	0	0	7	[vabb[è gra]zie con settecento grammi di pasta	[vabb[è gra]zie con settecento grammi di pasta	vabbè grazie con settecento grammi di pasta
9	SP2	17.979	18.284	0.305	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[rico~]	[rico~]	rico~
10	SP2	20.581	21.5	0.919	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ricotta e noCI	ricotta e noCI	ricotta e noci
11	SP2	22.019	23.004	0.985	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	non contENTA	non contENTA	non contenta
12	SP2	23.344	24.627	1.283	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	il fior di latte dentro	il fior di latte dentro	il fior di latte dentro
13	SP2	24.972	26.012	1.04	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	non contenta	non contenta	non contenta
14	SP2	26.562	27.668	1.106	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	il parmigiano sopra	il parmigiano sopra	il parmigiano sopra
15	SP1	28.844	29.623	0.779	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	e non stona?	e non stona?	e non stona
16	SP2	30.53	33.859	3.329	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	16	NON contenta >mi ha detto< eh se c'avevo le noci mettevo pure le noci sopra	NON contenta >mi ha detto< eh se c'avevo le noci mettevo pure le noci sopra	non contenta mi ha detto eh se c' avevo le noci mettevo pure le noci sopra
17	SP1	34.073	34.717	0.644	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[no]::	[no]::	no
18	SP3	34.155	34.46	0.305	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[marò]	[marò]	marò
19	SP1	35.53	36.04	0.51	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	esagerata	esagerata	esagerata
20	SP2	36.89	39.686	2.796	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	ua mi piacevano tanto quelle zucchine le ave[te man]giate tutte	ua mi piacevano tanto quelle zucchine le ave[te man]giate tutte	ua mi piacevano tanto quelle zucchine le avete mangiate tutte
21	SP1	38.664	38.923	0.259	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]	[mh]	mh
22	SP1	39.898	40.463	0.565	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	<sorry>	<sorry>	sorry
23	SP1	40.908	42.422	1.514	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	te le rifaccio prima che te ne vai	te le rifaccio prima che te ne vai	te le rifaccio prima che te ne vai
24	SP3	42.597	42.97	0.373	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e:h	e:h	eh
25	SP2	43.42	44.106	0.686	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	prima che te ne vai	prima che te ne vai	prima che te ne vai
26	SP3	44.392	44.561	0.169	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	m:h	m:h	mh
27	SP2	44.573	45.25	0.677	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	è lui che va via	è lui che va via	è lui che va via
28	SP3	45.695	46.752	1.057	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	>sai che possiamo [fare]<?	>sai che possiamo [fare]<?	sai che possiamo fare
29	SP2	46.2	46.573	0.373	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[m:hm:h]	[m:hm:h]	mhmh
30	SP2	47.236	47.484	0.248	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	°no°	°no°	no
31	SP3	47.836	50.211	2.375	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	9	con questa zucchinona gigante che tengo {P} la vogliamo arrostire?	con questa zucchinona gigante che tengo {P} la vogliamo arrostire?	con questa zucchinona gigante che tengo {P} la vogliamo arrostire
32	SP3	50.371	51.542	1.171	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	ADESSO tipo	ADESSO tipo	adesso tipo
33	SP3	51.711	53.344	1.633	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	cioè non ce la mangiamo adesso però	cioè non ce la mangiamo adesso però	cioè non ce la mangiamo adesso però
34	SP3	53.559	54.562	1.003	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	lo facciamo per domani magari	lo facciamo per domani magari	lo facciamo per domani magari
35	SP1	54.579	55.045	0.466	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	va bene	va bene	va bene
36	SP2	55.344	57.686	2.342	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	ma perché la zucchinona non l'avevi già fatta?	ma perché la zucchinona non l'avevi già fatta?	ma perché la zucchinona non l' avevi già fatta
37	SP3	57.991	59.221	1.23	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	amo' erano DUE zucchino[ne]	amo' erano DUE zucchino[ne]	amo' erano due zucchinone
38	SP2	59.063	59.803	0.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[°xx] zucchinone°	[°xx] zucchinone°	x zucchinone
39	SP3	59.827	61.729	1.902	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	una l'ho fatta {P} l'altra::	una l'ho fatta {P} l'altra::	una l' ho fatta {P} l' altra
40	SP1	61.994	64.632	2.638	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	eh ma l'altra [è metà] perché metà [si] deve tagliare	eh ma l'altra [è metà] perché metà [si] deve tagliare	eh ma l' altra è metà perché metà si deve tagliare
41	SP2	62.585	63.134	0.549	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[è nel frigo]	[è nel frigo]	è nel frigo
42	SP2	63.597	63.803	0.206	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[eh]	[eh]	eh
