match	id_A	token_A	id_B	token_B
1	0-0	eh	_	_
0	0-1	come	0-0	come
2	0-2	tabacco	0-1	tavacco
0	0-3	no	0-2	no
0	0-4	eh	0-3	eh
0	0-5	di	0-4	di
0	0-6	là	0-5	là
0	0-7	{P}	0-6	{P}
0	0-8	lavorando	0-7	lavorando
0	0-9	più	0-8	più
0	0-10	di	0-9	di
2	0-11	tre-	0-10	tre
0	0-12	tremila	0-11	tremila
0	0-13	persone	0-12	persone
0	0-14	non	0-13	non
0	0-15	sono	0-14	sono
0	0-16	esattamente	0-15	esattamente
0	0-17	o	0-16	o
0	0-18	tremila	0-17	tremila
0	0-19	o	0-18	o
1	_	_	0-19	trenta
2	0-20	trentamila	0-20	mila
0	0-21	ma	0-21	ma
0	0-22	tremila	0-22	tremila
0	0-23	che	0-23	che
0	0-24	facciamo	0-24	facciamo
0	1-0	okay	1-0	okay
1	_	_	2-0	mh
1	_	_	2-1	mh
2	2-0	mhmh	3-0	mh
2	3-0	mhmh	3-1	mh
0	4-0	ma	4-0	ma
0	4-1	{P}	4-1	{P}
0	4-2	non	4-2	non
0	4-3	si	4-3	si
0	4-4	trovano	4-4	trovano
0	4-5	adesso	4-5	adesso
0	4-6	neanche	4-6	neanche
0	4-7	là	4-7	là
1	_	_	4-8	il
2	4-8	gli	4-9	l'
2	4-9	appartamenti	4-10	appartamento
0	5-0	eh	5-0	eh
0	5-1	esatto	5-1	esatto
0	5-2	te	5-2	te
0	5-3	lo	5-3	lo
0	5-4	era	5-4	era
0	5-5	{P}	5-5	{P}
0	5-6	questo	5-6	questo
0	5-7	che	5-7	che
0	5-8	volevo	5-8	volevo
0	5-9	chiederti	5-9	chiederti
0	6-0	perché	6-0	perché
0	7-0	eh	7-0	eh
0	7-1	sì	7-1	sì
0	8-0	se	8-0	se
0	8-1	tutti	8-1	tutti
0	8-2	vogliono	8-2	vogliono
0	8-3	vivere	8-3	vivere
0	8-4	lì	8-4	lì
0	9-0	sì	9-0	sì
0	9-1	{P}	9-1	{P}
0	9-2	non	9-2	non
0	9-3	si	9-3	si
0	9-4	trovano	9-4	trovano
0	9-5	appartamenti	9-5	appartamenti
0	9-6	{P}	9-6	{P}
0	9-7	la	9-7	la
0	9-8	verità	9-8	verità
1	_	_	10-0	mh
1	_	_	10-1	mh
2	10-0	mhmh	11-0	mh
2	11-0	mhmh	11-1	mh
0	12-0	piuttosto	12-0	piuttosto
0	12-1	che	12-1	che
0	12-2	ci	12-2	ci
0	12-3	sono	12-3	sono
0	12-4	un	12-4	un
0	12-5	sacco	12-5	sacco
0	12-6	di	12-6	di
0	12-7	gente	12-7	gente
0	13-0	come	13-0	come
0	13-1	non	13-1	non
0	13-2	vuole	13-2	vuole
0	13-3	dare	13-3	dare
0	13-4	{P}	13-4	{P}
0	13-5	appartamenti	13-5	appartamenti
0	13-6	per	13-6	per
0	13-7	la	13-7	la
0	13-8	famiglia	13-8	famiglia
0	14-0	un	14-0	un
0	14-1	po'	14-1	po'
0	14-2	che	14-2	che
0	14-3	danno	14-3	danno
0	14-4	un	14-4	un
0	14-5	po'	14-5	po'
0	14-6	di	14-6	di
0	14-7	persone	14-7	persone
0	14-8	{P}	14-8	{P}
0	14-9	che	14-9	che
0	14-10	dopo	14-10	dopo
0	14-11	fanno	14-11	fanno
0	14-12	la	14-12	la
0	14-13	storia	14-13	storia
1	_	_	15-0	mh
1	_	_	15-1	mh
1	_	_	16-0	mh
2	15-0	mhmh	16-1	mh
0	16-0	allora	17-0	allora
1	17-0	mhmh	_	_
0	18-0	per	18-0	per
0	18-1	pochi	18-1	pochi
0	18-2	che	18-2	che
0	18-3	tutti	18-3	tutti
0	18-4	quanti	18-4	quanti
0	19-0	sì	19-0	sì
0	19-1	sì	19-1	sì
0	19-2	sì	19-2	sì
0	19-3	certo	19-3	certo
0	19-4	capito	19-4	capito
0	19-5	{P}	19-5	{P}
0	19-6	mh	19-6	mh
0	19-7	e	19-7	e
0	19-8	ma	19-8	ma
0	19-9	se	19-9	se
0	19-10	{P}	19-10	{P}
0	19-11	se	19-11	se
0	19-12	potessi	19-12	potessi
0	19-13	un	19-13	un
0	19-14	giorno	19-14	giorno
0	19-15	vorresti	19-15	vorresti
0	19-16	vivere	19-16	vivere
0	19-17	in	19-17	in
0	19-18	città	19-18	città
0	19-19	o	19-19	o
1	20-0	mh	_	_
1	21-0	mh	_	_
0	22-0	assolutamente	20-0	assolutamente
0	22-1	io	20-1	io
1	_	_	20-2	e
0	22-2	sto	20-3	sto
0	22-3	provando	20-4	provando
0	22-4	tutti	20-5	tutti
0	22-5	i	20-6	i
0	22-6	giorni	20-7	giorni
0	22-7	a	20-8	a
0	22-8	trovare	20-9	trovare
0	22-9	c'	20-10	c'
0	22-10	è	20-11	è
0	22-11	un	20-12	un
0	22-12	appartamento	20-13	appartamento
0	22-13	per	20-14	per
0	22-14	i	20-15	i
0	22-15	trasferire	20-16	trasferire
0	22-16	in	20-17	in
0	22-17	bologna	20-18	bologna
0	22-18	cioè	20-19	cioè
0	23-0	okay	21-0	okay
1	_	_	22-0	mh
2	24-0	mhmh	22-1	mh
0	25-0	io	23-0	io
0	25-1	lavoro	23-1	lavoro
0	25-2	qui	23-2	qui
0	26-0	è	24-0	è
1	_	_	24-1	un
2	26-1	inutile	24-2	utile
0	26-2	che	24-3	che
0	26-3	io	24-4	io
0	26-4	vado	24-5	vado
0	26-5	{P}	24-6	{P}
0	26-6	a	24-7	a
0	27-0	esempio	25-0	esempio
0	27-1	faccio	25-1	faccio
0	27-2	così	25-2	così
0	27-3	una	25-3	una
0	27-4	una	25-4	una
0	27-5	una	25-5	una
0	27-6	ragionamento	25-6	ragionamento
0	27-7	se	25-7	se
0	27-8	{P}	25-8	{P}
0	27-9	lo	25-9	lo
0	27-10	trovo	25-10	trovo
0	27-11	una	25-11	una
0	27-12	casa	25-12	casa
0	27-13	in	25-13	in
0	27-14	bologna	25-14	bologna
0	28-0	che	26-0	che
0	28-1	{P}	26-1	{P}
0	28-2	mille	26-2	mille
0	28-3	euro	26-3	euro
0	28-4	{P}	26-4	{P}
0	28-5	facciamo	26-5	facciamo
0	28-6	perché	26-6	perché
0	28-7	una	26-7	una
0	28-8	casa	26-8	casa
0	28-9	deve	26-9	deve
0	28-10	essere	26-10	essere
0	28-11	mille	26-11	mille
0	28-12	euro	26-12	euro
1	_	_	27-0	mh
2	29-0	mhmh	27-1	mh
0	30-0	e	28-0	e
0	30-1	{P}	28-1	{P}
0	30-2	non	28-2	non
