tu_id	speaker	start	end	duration	text
0	SP1	0.000	0.820	0.820	per quattro?
1	SP2	3.000	5.280	2.280	no un chilo settecento grammi di pasta
2	SP1	5.400	7.940	2.540	eh [vabbè ma] perché quello il padre se ne mangia assai io so
3	SP2	5.580	6.050	0.470	[con due]
4	SP2	8.080	11.080	3.000	il padre va e ne mangia: ne mangia una scodella di insalata
5	SP1	11.115	11.413	0.298	eh
6	SP2	13.980	17.730	3.750	con due vasetti del pesto quello là barilla:
7	SP2	18.015	18.300	0.285	[rico-]
8	SP1	18.015	20.035	2.020	[vabbè] grazie co settecento grammi di pasta
9	SP2	20.700	21.621	0.921	ricotta e noci,
10	SP2	22.160	23.168	1.008	non contenta:
11	SP2	23.409	24.825	1.416	il fiordilatte dentro,
12	SP2	25.212	26.227	1.015	non contenta
13	SP2	26.520	27.940	1.420	il parmigiano sopra
14	SP1	28.990	29.780	0.790	e lo stona
15	SP2	30.720	34.040	3.320	non contenta mi ha detto eh se c'avevo le noci mettevo pure le noci sopra
16	SP3	34.290	34.820	0.530	[(ah no?)]
17	SP1	34.290	34.820	0.530	[no:]
18	SP1	35.530	36.225	0.695	(che bravo)
19	SP2	36.740	39.780	3.040	(ua) mi piacevano tanto quelle zucchine le [avete] mangiate tutte?
20	SP3	38.755	39.038	0.283	[mh]
21	SP1	40.120	42.590	2.470	sorry: te le rifaccio prima che te ne vai
22	SP3	42.820	43.240	0.420	e:h
23	SP2	43.445	44.310	0.865	{ride} prima che te ne vai
24	SP3	44.440	44.624	0.184	m:h
25	SP2	44.730	45.334	0.604	dov'è che va via?
26	SP3	45.860	46.840	0.980	sai che possiamo [fa]re?
27	SP2	46.370	46.588	0.218	[x]
28	SP2	47.340	47.650	0.310	°no°
29	SP3	47.760	50.350	2.590	con questa zucchinona gigante che tengo la vogliamo arrostire?
30	SP3	50.800	54.680	3.880	adesso tipo cioè non ce la mangiamo adesso però: lo facciamo per domani magari
31	SP1	54.760	55.200	0.440	va bene
32	SP2	55.560	57.980	2.420	ma perché la zucchinona non l'avevi già fatta?
33	SP3	58.220	59.400	1.180	amore erano due zucchi[none]
34	SP2	59.120	59.870	0.750	[°(erano)] due zucchinone°
35	SP3	59.910	62.060	2.150	una l'ho fatta, l'altra:
36	SP1	62.280	64.690	2.410	eh ma [l'altra è metà] perché [metà] si deve tagliare
