match	id_A	token_A	id_B	token_B
0	1-0	bene	1-0	bene
1	_	_	1-1	{P}
0	2-0	allora	1-2	allora
1	_	_	1-3	{P}
0	3-0	intanto	1-4	intanto
1	_	_	1-5	{P}
0	4-0	ero	1-6	ero
0	4-1	curiosa	1-7	curiosa
0	4-2	di	1-8	di
0	4-3	sapere	1-9	sapere
0	5-0	da	1-10	da
0	5-1	quanto	1-11	quanto
0	5-2	tempo	1-12	tempo
0	5-3	c'	1-13	c'
0	5-4	è	1-14	è
0	5-5	questo	1-15	questo
0	5-6	negozio	1-16	negozio
0	5-7	perché	1-17	perché
0	6-0	io	2-0	io
0	6-1	sono	2-1	sono
0	6-2	di	2-2	di
0	6-3	qui	2-3	qui
1	_	_	2-4	{P}
0	7-0	e	2-5	e
0	7-1	frequento	2-6	frequento
0	7-2	un	2-7	un
0	7-3	po'	2-8	po'
0	7-4	questa	2-9	questa
0	7-5	zona	2-10	zona
0	7-6	ma	2-11	ma
0	7-7	non	2-12	non
0	7-8	l'	2-13	l'
0	7-9	avevo	2-14	avevo
0	7-10	mai	2-15	mai
0	7-11	visto	2-16	visto
0	8-0	no	3-0	no
1	8-1	{P}	_	_
1	8-2	eh	_	_
0	8-3	non	3-1	non
0	8-4	è	3-2	è
0	8-5	così	3-3	così
0	9-0	stranamente	4-0	stranamente
0	10-0	questo	5-0	questo
0	10-1	negozio	5-1	negozio
1	10-2	{P}	_	_
0	10-3	è	5-2	è
0	10-4	già	5-3	già
1	10-5	{P}	_	_
0	10-6	da	5-4	da
0	10-7	ventidue	5-5	ventidue
0	10-8	anni	5-6	anni
0	11-0	okay	6-0	okay
1	_	_	6-1	quindi
1	_	_	6-2	non
1	_	_	6-3	è
1	_	_	6-4	nuovo
0	12-0	sono	7-0	sono
0	12-1	qui	7-1	qui
0	12-2	da	7-2	da
0	12-3	sei	7-3	sei
0	12-4	anni	7-4	anni
0	12-5	no	7-5	no
0	12-6	no	7-6	no
2	12-7	n-	7-7	no
0	12-8	questo	7-8	questo
0	12-9	qua	7-9	qua
0	12-10	non	7-10	non
0	12-11	è	7-11	è
0	12-12	nuovo	7-12	nuovo
1	12-13	è	_	_
0	12-14	di	7-13	di
0	12-15	prima	7-14	prima
0	12-16	era	7-15	era
0	12-17	una	7-16	una
1	12-18	calatrice	_	_
1	12-19	vaiesi	_	_
1	13-0	quindi	_	_
2	13-1	non	7-17	casa
2	13-2	è	7-18	editrice
2	13-3	nuovo	7-19	vaesi
0	14-0	poi	8-0	poi
0	14-1	hanno	8-1	hanno
0	14-2	chiuso	8-2	chiuso
0	14-3	allora	8-3	allora
1	14-4	ci	_	_
2	14-5	ha	8-4	già
0	14-6	comprato	8-5	comprato
0	14-7	un'	8-6	un'
0	14-8	altra	8-7	altra
0	14-9	persona	8-8	persona
0	14-10	e	8-9	e
2	14-11	ha	8-10	è
0	14-12	fatta	8-11	fatta
0	14-13	copisteria	8-12	copisteria
0	15-0	okay	9-0	okay
0	16-0	poi	10-0	poi
0	16-1	io	10-1	io
0	16-2	sono	10-2	sono
0	16-3	da	10-3	da
0	16-4	terza	10-4	terza
0	16-5	mano	10-5	mano
0	16-6	che	10-6	che
1	16-7	i	_	_
0	16-8	andando	10-7	andando
0	16-9	avanti	10-8	avanti
1	17-0	mh	_	_
2	17-1	mh	11-0	mhmh
0	18-0	okay	11-1	okay
0	19-0	mh	12-0	mh
0	20-0	noi	12-1	noi
2	20-1	siam	12-2	siamo
2	20-2	venute	12-3	venuti
0	20-3	qui	12-4	qui
0	20-4	a	12-5	a
0	20-5	chiedere	12-6	chiedere
0	20-6	a	12-7	a
0	20-7	te	12-8	te
0	20-8	la	12-9	la
0	20-9	disponibilità	12-10	disponibilità
0	20-10	perché	12-11	perché
1	21-0	il	_	_
2	21-1	la	12-12	il-
2	21-2	il	12-13	l-
0	21-3	la	12-14	la
0	21-4	verità	12-15	verità
0	21-5	è	12-16	è
0	21-6	che	12-17	che
0	21-7	siamo	12-18	siamo
0	21-8	andati	12-19	andati
0	21-9	alla	12-20	alla
0	21-10	copisteria	12-21	copisteria
0	21-11	di	12-22	di
0	21-12	via	12-23	via
0	21-13	del	12-24	del
0	21-14	guasto	12-25	guasto
0	22-0	sì	13-0	sì
0	23-0	a	14-0	a
0	23-1	chiedere	14-1	chiedere
1	24-0	mh	_	_
2	24-1	mh	15-0	mhmh
0	25-0	e	16-0	e
0	25-1	i	16-1	i
0	25-2	ragazzi	16-2	ragazzi
0	25-3	ci	16-3	ci
0	25-4	hanno	16-4	hanno
0	25-5	detto	16-5	detto
1	25-6	{P}	_	_
0	25-7	che	16-6	che
0	25-8	dovevamo	16-7	dovevamo
0	25-9	assolutamente	16-8	assolutamente
0	25-10	venire	16-9	venire
0	25-11	da	16-10	da
0	25-12	te	16-11	te
0	26-0	beh	17-0	beh
0	26-1	eh	17-1	eh
0	26-2	sì	17-2	sì
0	26-3	perché	17-3	perché
0	26-4	loro	17-4	loro
0	26-5	non	17-5	non
0	26-6	è	17-6	è
0	26-7	non	17-7	non
0	26-8	è	17-8	è
2	26-9	un	17-9	mh
2	26-10	abbasta-	17-10	abbas-
0	26-11	cioè	17-11	cioè
0	26-12	loro	17-12	loro
0	26-13	non	17-13	non
1	_	_	17-14	mh
0	26-14	loro	17-15	loro
0	26-15	sono	17-16	sono
2	26-16	bravi	17-17	bravi'
0	26-17	ma	17-18	ma
0	26-18	non	17-19	non
0	26-19	sono	17-20	sono
0	26-20	bravi	17-21	bravi
0	26-21	per	17-22	per
0	27-0	rispondere	18-0	rispondere
0	27-1	a	18-1	a
0	27-2	un	18-2	un
0	27-3	sacco	18-3	sacco
0	27-4	di	18-4	di
0	27-5	domande	18-5	domande
0	27-6	che	18-6	che
0	27-7	anche	18-7	anche
1	27-8	{P}	_	_
0	27-9	non	18-8	non
0	27-10	sono	18-9	sono
0	27-11	bravi	18-10	bravi
1	27-12	{P}	_	_
0	27-13	in	18-11	in
0	27-14	italiano	18-12	italiano
0	27-15	pro-	18-13	pro-
1	_	_	18-14	in
2	27-16	poco	18-15	poche
0	27-17	parole	18-16	parole
0	27-18	sì	18-17	sì
0	28-0	mh	19-0	mh
0	29-0	okay	20-0	okay
1	29-1	{P}	_	_
0	29-2	quindi	20-1	quindi
0	30-0	forse	20-2	forse
1	30-1	{P}	_	_
0	30-2	forse	20-3	forse
0	30-3	il	20-4	il
0	30-4	problema	20-5	problema
0	30-5	era	20-6	era
0	30-6	quello	20-7	quello
0	30-7	non	20-8	non
1	30-8	a-	_	_
0	30-9	non	20-9	non
0	30-10	abbiamo	20-10	abbiamo
0	30-11	capito	20-11	capito
0	30-12	se	20-12	se
0	30-13	erano	20-13	erano
0	30-14	preoccupati	20-14	preoccupati
0	30-15	perché	20-15	perché
1	_	_	21-0	sì
0	31-0	no	22-0	no
0	31-1	non	22-1	non
2	31-2	son-	22-2	so-
0	31-3	non	22-3	non
0	31-4	è	22-4	è
0	31-5	preoccupati	22-5	preoccupati
0	31-6	pero'	22-6	pero'
0	31-7	eh	22-7	eh
0	31-8	lo	22-8	lo
0	31-9	sai	22-9	sai
0	31-10	che	22-10	che
0	31-11	quando	22-11	quando
0	31-12	qualcuno	22-12	qualcuno
0	31-13	che	22-13	che
0	31-14	mh	22-14	mh
0	31-15	non	22-15	non
0	31-16	capisce	22-16	capisce
0	31-17	cosa	22-17	cosa
0	31-18	è	22-18	è
0	31-19	la	22-19	la
0	31-20	domanda	22-20	domanda
1	_	_	23-0	mhmh
0	31-21	e	24-0	e
0	31-22	quale	24-1	quale
0	31-23	che	24-2	che
0	31-24	è	24-3	è
1	_	_	24-4	la
2	31-25	ras-	24-5	ri-
0	31-26	risposta	24-6	risposta
0	31-27	che	24-7	che
0	31-28	sta	24-8	sta
1	32-0	mh	_	_
1	32-1	mh	_	_
0	33-0	facendo	24-9	facendo
0	33-1	in	24-10	in
0	33-2	un'	24-11	un'
0	33-3	altra	24-12	altra
0	33-4	lingua	24-13	lingua
0	33-5	che	24-14	che
0	33-6	lui	24-15	lui
0	33-7	non	24-16	non
0	33-8	è	24-17	è
0	33-9	abbastanza	24-18	abbastanza
0	33-10	brava	24-19	brava
1	_	_	25-0	mhmh
0	33-11	allora	26-0	allora
0	33-12	è	26-1	è
0	33-13	una	26-2	una
0	33-14	problema	26-3	problema
1	33-15	per	_	_
1	34-0	mh	_	_
1	34-1	mh	_	_
1	35-0	mh	_	_
1	35-1	mh	_	_
2	36-0	mh	26-4	per-
2	36-1	mh	26-5	{P}
0	37-0	per	26-6	per
0	37-1	cioè	26-7	cioè
0	37-2	una	26-8	una
0	37-3	persona	26-9	persona
0	37-4	no	26-10	no
2	37-5	cioè	27-0	mhmh
2	38-0	mh	28-0	mhmh
2	38-1	mh	29-0	mhmh
0	39-0	sì	29-1	sì
0	39-1	forse	29-2	forse
1	_	_	30-0	cioè
0	40-0	ecco	30-1	ecco
0	40-1	percio'	30-2	percio'
0	40-2	che	30-3	che
2	40-3	fiù	30-4	x
0	41-0	forse	31-0	forse
0	41-1	è	31-1	è
0	41-2	stato	31-2	stato
0	41-3	per	31-3	per
0	41-4	quello	31-4	quello
0	42-0	sì	32-0	sì
2	43-0	eh	33-0	e
0	43-1	stamattina	33-1	stamattina
0	43-2	noi	33-2	noi
0	43-3	siamo	33-3	siamo
0	43-4	andate	33-4	andate
0	43-5	in	33-5	in
1	43-6	eh	_	_
1	44-0	sì	_	_
0	45-0	zona	34-0	zona
0	46-0	praticamente	35-0	praticamente
0	46-1	tutti	35-1	tutti
0	46-2	i	35-2	i
0	46-3	negozi	35-3	negozi
0	46-4	di	35-4	di
0	46-5	via	35-5	via
0	46-6	san	35-6	san
0	46-7	vitale	35-7	vitale
1	_	_	35-8	a
1	_	_	35-9	chiedere
0	47-0	sì	36-0	sì
1	47-1	{P}	_	_
0	47-2	nessuno	36-1	nessuno
0	47-3	che	36-2	che
0	47-4	non	36-3	non
0	47-5	ti	36-4	ti
0	47-6	ha	36-5	ha
0	47-7	detto	36-6	detto
0	47-8	che	36-7	che
0	47-9	c'	36-8	c'
0	47-10	è	36-9	è
0	47-11	sì	36-10	sì
0	47-12	perché	36-11	perché
0	47-13	hanno	36-12	hanno
0	47-14	paura	36-13	paura
0	47-15	per	36-14	per
1	47-16	eh	_	_
0	47-17	perché	36-15	perché
1	48-0	a	_	_
2	48-1	chiedere	36-16	{P}
0	49-0	non	36-17	non
0	49-1	lo	36-18	lo
1	49-2	s-	_	_
0	49-3	non	36-19	non
0	49-4	si	36-20	si
0	49-5	sa	36-21	sa
1	49-6	{P}	_	_
0	49-7	cosa	36-22	cosa
0	49-8	succederà	36-23	succederà
1	49-9	{P}	_	_
0	49-10	dopo	36-24	dopo
1	50-0	mh	_	_
2	50-1	mh	37-0	mhmh
0	50-2	mh	37-1	mh
0	51-0	infatti	38-0	infatti
0	51-1	sì	38-1	sì
