<<<<<<< HEAD
tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	0.668000000000006	0.668	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	per quATTRO?	per quATTRO?	per quattro
2	SP2	2.90300000000002	5.14700000000005	2.244	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	no n~ un kilo settecento grammi di pasta	no n~ un kilo settecento grammi di pasta	no n~ un kilo settecento grammi di pasta
3	SP1	5.35500000000002	7.85900000000004	2.504	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	eh [vabbè ma] perché quello il padre se ne mangia assai io so	eh [vabbè ma] perché quello il padre se ne mangia assai io so	eh vabbè ma perché quello il padre se ne mangia assai io so
4	SP2	5.54500000000007	5.89300000000003	0.348	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[con due]	[con due]	con due
5	SP2	8.03600000000006	10.8870000000001	2.851	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	il padre man~ ne mangia:: ne mangia una scodella da insalata	il padre man~ ne mangia:: ne mangia una scodella da insalata	il padre man~ ne mangia ne mangia una scodella da insalata
6	SP1	10.903	11.129	0.226	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	eh	eh	eh
7	SP2	13.7670000000001	15.168	1.401	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	con <DUE VASETTI>	con <DUE VASETTI>	con due vasetti
8	SP2	15.561	17.495	1.934	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	del pesto quello là barilla::	del pesto quello là barilla::	del pesto quello là barilla
9	SP1	17.716	19.7850000000001	2.069	True	0	0	0	0	0	0	0	False	False	False	True	True	10=0.305	0	0	0	7	[vabb[è gra]zie con settecento grammi di pasta	[vabb[è gra]zie con settecento grammi di pasta	vabbè grazie con settecento grammi di pasta
10	SP2	17.979	18.284	0.305	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[rico~]	[rico~]	rico~
11	SP2	20.581	21.5	0.919	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	ricotta e noCI	ricotta e noCI	ricotta e noci
12	SP2	22.019	23.004	0.985	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	non contENTA	non contENTA	non contenta
13	SP2	23.344	24.6270000000001	1.283	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	il fior di latte dentro	il fior di latte dentro	il fior di latte dentro
14	SP2	24.9720000000001	26.0120000000001	1.04	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	non contenta	non contenta	non contenta
15	SP2	26.562	27.668	1.106	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	il parmigiano sopra	il parmigiano sopra	il parmigiano sopra
16	SP1	28.8440000000001	29.623	0.779	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	e non stona?	e non stona?	e non stona
17	SP2	30.5300000000001	33.859	3.329	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	NON contenta >mi ha detto< eh se c'avevo le noci mettevo pure le noci sopra	NON contenta >mi ha detto< eh se c'avevo le noci mettevo pure le noci sopra	non contenta mi ha detto eh se c' avevo le noci mettevo pure le noci sopra
18	SP1	34.0730000000001	34.717	0.644	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[no]::	[no]::	no
19	SP3	34.1550000000001	34.46	0.305	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[marò]	[marò]	marò
20	SP1	35.5300000000001	36.0400000000001	0.51	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	esagerata	esagerata	esagerata
21	SP2	36.89	39.686	2.796	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	ua mi piacevano tanto quelle zucchine le ave[te man]giate tutte	ua mi piacevano tanto quelle zucchine le ave[te man]giate tutte	ua mi piacevano tanto quelle zucchine le avete mangiate tutte
22	SP1	38.664	38.923	0.259	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]	[mh]	mh
23	SP1	39.898	40.4630000000001	0.565	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	<sorry>	<sorry>	sorry
24	SP1	40.908	42.422	1.514	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	te le rifaccio prima che te ne vai	te le rifaccio prima che te ne vai	te le rifaccio prima che te ne vai
25	SP3	42.5970000000001	42.97	0.373	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:h	e:h	eh
26	SP2	43.4200000000001	44.106	0.686	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	prima che te ne vai	prima che te ne vai	prima che te ne vai
27	SP3	44.3920000000001	44.561	0.169	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	m:h	m:h	mh
28	SP2	44.5730000000001	45.25	0.677	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	è lui che va via	è lui che va via	è lui che va via
29	SP3	45.6950000000001	46.7520000000001	1.057	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	>sai che possiamo [fare]<?	>sai che possiamo [fare]<?	sai che possiamo fare
30	SP2	46.2	46.5730000000001	0.373	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[m:hm:h]	[m:hm:h]	mhmh
