tu_id	speaker	start	end	duration	text
0	SP1	0.120	1.860	1.740	va be' era leggera però
1	SP2	2.040	3.040	1.000	no no no è vero
2	SP3	3.130	3.380	0.250	sì
3	SP3	4.120	5.400	1.280	non era pesantissima
4	SP1	6.480	7.240	0.760	per niente
5	SP3	7.500	9.560	2.060	l'unica cosa ho esagerato un po' con l'olio forse
6	SP1	10.800	12.160	1.360	ma nell'impasto no fuori
7	SP3	12.160	14.360	2.200	fuori nell'impasto ci ho me[sso il giusto]
8	SP2	13.362	14.444	1.082	[nella padella]
9	SP3	14.720	15.660	0.940	però in padella
10	SP3	16.920	19.250	2.330	xx ha detto metti: quello là l'olio da friggere
11	SP3	19.560	20.580	1.020	così vengono meglio
12	SP3	20.880	21.720	0.840	ho detto okay
13	SP3	22.280	23.840	1.560	e ho fatto però praticamente
14	SP3	24.100	25.560	1.460	ho messo:
15	SP3	25.640	28.060	2.420	tutto l- tutto il fondo della padella era pieno di olio
16	SP3	29.380	30.390	1.010	io volevo mettere un filo
17	SP3	30.390	31.540	1.150	sai per farle venire
18	SP3	31.540	32.780	1.240	mezzi tra:
19	SP3	34.820	35.640	0.820	c(io)è cotti
20	SP3	35.760	36.944	1.184	nella padella unta
21	SP3	36.993	37.637	0.644	invece
22	SP3	38.840	39.800	0.960	i primi sono venuti un po'
23	SP3	39.800	41.281	1.481	deep fried quasi {ride}
24	SP1	43.293	43.680	0.387	{tossisce}
25	SP1	43.820	45.660	1.840	beh oggi abbiamo fatto colazione con
26	SP1	45.660	47.380	1.720	pan- pancake con nutella
27	SP3	47.600	49.520	1.920	è rimasto un altro pancake se vuoi
28	SP2	49.555	50.719	1.164	uh [xxxx]
29	SP3	49.740	51.720	1.980	[mangiati tu il pan]cake che io mangio il gelato che ne dici?
30	SP1	53.056	54.700	1.644	(te lo tiro in) faccia sto pancake
31	SP2	53.174	53.943	0.769	stronzo
32	SP1	55.256	56.480	1.224	poi è rimasto
33	SP1	56.720	58.140	1.420	poi abbiamo mangiato
34	SP3	58.300	59.594	1.294	io [a pranzo ho esagerato]
35	SP1	58.350	59.587	1.237	[xxxxx nonna]
36	SP1	60.400	62.400	2.000	quattro gelati s'ha mangiato sto porc
37	SP3	62.412	63.912	1.500	quattro gelati non è ve-
38	SP3	63.940	66.575	2.635	xxxxxx abbiamo mangiato la stessa quantità di gelato
39	SP1	67.160	68.394	1.234	tu ne hai mangiati di più
40	SP3	68.425	69.262	0.837	no roberto
41	SP1	69.544	70.925	1.381	hai mangiato il pan di stelle
42	SP1	70.950	72.344	1.394	hai mangiato quello al caramello
43	SP1	72.350	73.358	1.008	e ne hai mangiato un al[tro]
44	SP3	73.160	74.453	1.293	[no no]n l'ho mangiato un altro
45	SP3	75.300	77.253	1.953	ho man- perché noi abbiamo comprato quelli pan di st[elle]
46	SP1	77.005	78.637	1.632	[va be'] sei un [maiale hai mangiato]
47	SP3	77.632	78.637	1.005	[che erano buoni]
