tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.36	1.67	1.31	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ci sono delle università:?	ci sono delle università:?	ci sono delle università
2	SP2	2.68	4.98	2.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	sì no [l'università è un po'] più in città	sì no [l'università è un po'] più in città	sì no l' università è un po' più in città
3	SP1	3.1	4.37	1.27	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[o più nella capitale?]	[o più nella capitale?]	o più nella capitale
4	SP2	4.993	5.7	0.707	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[x tu]tto	[x tu]tto	x tutto
5	SP1	5.0	5.42	0.42	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[okay]	[okay]	okay
6	SP1	5.7	6.68	0.98	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	okay >okay okay<	okay >okay okay<	okay okay okay
7	SP1	6.8	7.49	0.69	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e: [s-]	e: [s-]	e s-
8	SP2	6.95	7.88	0.93	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[di: in] capitale	[di: in] capitale	di in capitale
9	SP1	7.89	8.77	0.88	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	in capitale okay	in capitale okay	in capitale okay
10	SP1	8.83	10.08	1.25	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[eh se] devi:	[eh se] devi:	eh se devi
11	SP2	8.845	9.185	0.34	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[(però)]	[(però)]	però
12	SP1	10.84	11.78	0.94	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	°posso anche°	°posso anche°	posso anche
13	SP2	13.84	15.61	1.77	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	°vabbè adesso faccio finire°	°vabbè adesso faccio finire°	vabbè adesso faccio finire
14	SP1	15.627	16.087	0.46	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
15	SP2	17.43	19.38	1.95	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	xxxxxx	xxxxxx	xxxxxx
16	SP1	19.64	21.007	1.367	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	°sta andando abbastanza bene no?°	°sta andando abbastanza bene no?°	sta andando abbastanza bene no
17	SP3	21.32	21.72	0.4	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°sì°	°sì°	sì
18	SP1	21.733	23.493	1.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	°proviamo a [vedere] se:°	°proviamo a [vedere] se:°	proviamo a vedere se
19	SP3	22.146	22.786	0.64	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°xx°]	[°xx°]	xx
20	SP1	25.9	27.481	1.581	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	allora dimmi la capitale è molto gr[ande]	allora dimmi la capitale è molto gr[ande]	allora dimmi la capitale è molto grande
21	SP2	27.125	31.425	4.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	[la capit]ale è molto grande e:h trecentosei virgola quattro e:h	[la capit]ale è molto grande e:h trecentosei virgola quattro e:h	la capitale è molto grande eh trecentosei virgola quattro eh
22	SP2	31.699	33.262	1.563	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	chilometri quadra[ti]	chilometri quadra[ti]	chilometri quadrati
23	SP1	32.893	34.334	1.441	True	0	0	0	0	0	0	0	False	False	False	False	True	22=0.369,24=0.235	0	0	0	3	[o]kay e popolazione?	[o]kay e popolazione?	okay e popolazione
24	SP2	33.605	33.84	0.235	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[in]	[in]	in
25	SP2	34.774	35.406	0.632	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:h	e:h	eh
