tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	1.42	1.42	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	e:: come tabacco no?	e:: come tabacco no?	e come tabacco no
2	SP2	1.43	1.95	0.52	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	o[kay]	o[kay]	okay
3	SP1	1.51	4.913	3.403	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	[e::h (di)] là (.) lavorando più di tre:- tremila pers[one]	[e::h (di)] là {P} lavorando più di tre:- tremila pers[one]	eh di là {P} lavorando più di tre- tremila persone
4	SP2	4.52	5.06	0.54	True	0	0	0	0	0	0	0	0	True	False	False	False	False	_	0	0	0	1	[°mh][mh]	[°mh][mh]	mhmh
5	SP1	4.94	8.49	3.55	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	[no]n sono esattamente o tremila o trentamila [ma tremi]la che facciamo	[no]n sono esattamente o tremila o trentamila [ma tremi]la che facciamo	non sono esattamente o tremila o trentamila ma tremila che facciamo
6	SP2	7.01	7.59	0.58	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°mhmh°]	[°mhmh°]	mhmh
7	SP1	8.72	11.36	2.64	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	ma non si trovano adesso neanche là gli appartamen[ti]	ma non si trovano adesso neanche là gli appartamen[ti]	ma non si trovano adesso neanche là gli appartamenti
8	SP2	11.1	14.2	3.1	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	[eh] esatto >te lo era< (.) questo che volevo chiederti	[eh] esatto >te lo era< {P} questo che volevo chiederti	eh esatto te lo era {P} questo che volevo chiederti
9	SP2	14.26	14.7	0.44	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	>perché<	>perché<	perché
10	SP1	14.83	15.33	0.5	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ah sì	ah sì	ah sì
11	SP2	15.38	16.85	1.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	se tutti vogliono vivere lì	se tutti vogliono vivere lì	se tutti vogliono vivere lì
12	SP1	17.41	19.11	1.7	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	°sì° non si trovano appartamenti.	°sì° non si trovano appartamenti.	sì non si trovano appartamenti
13	SP2	19.12	19.3	0.18	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°mhmh°	°mhmh°	mhmh
