tu_id	speaker	start	end	duration	text
0	SP1	0.360	1.670	1.310	ci sono delle università?:
1	SP2	2.680	3.130	0.450	sì no
2	SP1	3.100	4.370	1.270	[o più nella capitale?]
3	SP2	3.150	4.980	1.830	[l'università è un po'] più in città
4	SP1	5.000	5.420	0.420	okay
5	SP2	5.040	6.020	0.980	xxxx
6	SP1	5.560	6.680	1.120	okay >okay okay<
7	SP1	6.800	7.490	0.690	e: [s-]
8	SP2	6.950	7.880	0.930	[i:n] capitale
9	SP1	7.890	8.770	0.880	in capitale okay
10	SP1	8.830	10.080	1.250	e se devi:
11	SP1	10.840	11.780	0.940	xx
12	SP2	13.670	15.610	1.940	°(vabbè adesso faccio finire)°
13	SP1	16.030	16.490	0.460	sì
14	SP2	17.430	19.380	1.950	xxxxxx
15	SP1	19.640	21.300	1.660	°sta andando abbastanza bene no?°
16	SP3	21.320	21.720	0.400	°sì°
17	SP1	21.940	23.700	1.760	°proviamo a vedere se:°
18	SP1	25.900	26.450	0.550	allora dimmi
19	SP1	26.460	27.481	1.021	la capitale è molto gran[de]
20	SP2	27.340	28.344	1.004	[la capit]ale è molto grande
21	SP2	28.362	28.593	0.231	e:h
22	SP2	28.643	29.769	1.126	trecentosei virgola
23	SP2	29.861	30.499	0.638	quattro
24	SP2	30.574	31.425	0.851	e:h
25	SP2	31.699	33.262	1.563	chilometri quadra[ti]
26	SP1	32.893	33.462	0.569	[o]kay e
27	SP1	33.569	34.334	0.765	popolazione?
28	SP2	34.774	35.406	0.632	e:h
29	SP2	35.599	37.216	1.617	quattordici: milioni
30	SP1	37.268	37.452	0.184	[eh]
31	SP2	37.268	38.944	1.676	[qu]attordici punto quattro milio[ni]
32	SP1	38.744	39.644	0.900	[cioè] bologna è
33	SP1	39.726	41.596	1.870	trecentocinquantamila persone
34	SP2	41.496	42.844	1.348	da trecen[toci]nquantamila
35	SP1	41.848	42.152	0.304	[eh]
36	SP1	42.318	43.230	0.912	((ride))
37	SP2	42.848	43.440	0.592	ma devo essere
38	SP2	43.544	45.000	1.456	quanto grande bologna
39	SP1	45.572	46.944	1.372	non so di chilometri quadrati
40	SP1	47.038	47.324	0.286	però
41	SP1	47.960	49.316	1.356	decisamente più grande ((ride))
42	SP1	49.326	49.772	0.446	ma infatti
43	SP1	49.816	49.948	0.132	mi
44	SP1	50.048	50.228	0.180	eh
45	SP1	50.376	51.424	1.048	mi sembrava impossibile
46	SP1	51.456	52.364	0.908	ma il ragazzo ieri
47	SP1	52.368	53.072	0.704	in[sisteva]
48	SP2	52.384	53.336	0.952	[guarda che bolo][gna]
49	SP1	53.236	53.652	0.416	[(infatti)]
50	SP2	53.348	54.248	0.900	è centoqua-
51	SP2	54.284	55.120	0.836	centoquaran[ta]
52	SP1	54.844	54.996	0.152	[eh]
53	SP1	55.500	55.812	0.312	sì
