match	id_A	token_A	id_B	token_B
0	1-0	ci	1-0	ci
0	1-1	sono	1-1	sono
0	1-2	delle	1-2	delle
0	1-3	università	1-3	università
0	2-0	sì	2-0	sì
0	2-1	no	2-1	no
2	2-2	l'	2-2	le
0	2-3	università	2-3	università
0	2-4	è	2-4	è
1	2-5	un	_	_
1	2-6	po'	_	_
2	2-7	più	2-5	proprio
0	2-8	in	2-6	in
0	2-9	città	2-7	città
0	3-0	o	3-0	o
0	3-1	più	3-1	più
0	3-2	nella	3-2	nella
1	3-3	capitale	_	_
2	4-0	x	3-3	capita-
2	4-1	tutto	4-0	ok
2	5-0	okay	4-1	{P}
2	6-0	okay	4-2	ok
2	6-1	okay	4-3	ok
2	6-2	okay	4-4	ok
0	7-0	e	5-0	e
0	7-1	s-	5-1	s-
1	8-0	di	_	_
0	8-1	in	5-2	in
0	8-2	capitale	5-3	capitale
0	9-0	in	5-4	in
0	9-1	capitale	5-5	capitale
2	9-2	okay	5-6	ok
2	10-0	eh	5-7	e
0	10-1	se	5-8	se
0	10-2	devi	5-9	devi
1	_	_	6-0	di
1	_	_	6-1	in
1	_	_	6-2	capitale
2	11-0	pero'	7-0	solo
2	12-0	posso	7-1	che
2	12-1	anche	8-0	va
2	13-0	vabbè	8-1	be'
0	13-1	adesso	8-2	adesso
0	13-2	faccio	8-3	faccio
0	13-3	finire	8-4	finire
1	_	_	8-5	qui
0	14-0	sì	9-0	sì
1	_	_	10-0	detali
1	_	_	10-1	così
1	_	_	10-2	che
2	15-0	xxxxxx	10-3	ci
2	16-0	sta	10-4	vengono
2	16-1	andando	11-0	vengono
0	16-2	abbastanza	11-1	abbastanza
0	16-3	bene	11-2	bene
0	16-4	no	11-3	no
0	17-0	sì	12-0	sì
1	_	_	12-1	{P}
0	18-0	proviamo	12-2	proviamo
1	18-1	a	_	_
0	18-2	vedere	12-3	vedere
0	18-3	se	12-4	se
1	19-0	xx	_	_
0	20-0	allora	13-0	allora
0	20-1	dimmi	13-1	dimmi
0	20-2	la	13-2	la
0	20-3	capitale	13-3	capitale
0	20-4	è	13-4	è
0	20-5	molto	13-5	molto
0	20-6	grande	13-6	grande
0	21-0	la	14-0	la
0	21-1	capitale	14-1	capitale
0	21-2	è	14-2	è
0	21-3	molto	14-3	molto
0	21-4	grande	14-4	grande
1	_	_	14-5	{P}
2	21-5	eh	14-6	e
0	21-6	trecentosei	14-7	trecentosei
0	21-7	virgola	14-8	virgola
0	21-8	quattro	14-9	quattro
2	21-9	eh	14-10	e
0	22-0	chilometri	14-11	chilometri
0	22-1	quadrati	14-12	quadrati
2	23-0	okay	15-0	ok
0	23-1	e	15-1	e
0	23-2	popolazione	15-2	popolazione
0	24-0	in	16-0	in
2	25-0	eh	17-0	e
0	26-0	quattordici	17-1	quattordici
0	26-1	milioni	17-2	milioni
1	27-0	eh	_	_
0	28-0	quattordici	17-3	quattordici
0	28-1	punto	17-4	punto
0	28-2	quattro	17-5	quattro
0	28-3	milioni	17-6	milioni
0	29-0	cioè	18-0	cioè
0	29-1	bologna	18-1	bologna
0	29-2	è	18-2	è
0	29-3	trecentocinquantamila	18-3	trecentocinquantamila
0	29-4	persone	18-4	persone
