match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
0	1-3	puoi	1-3	puoi
2	1-4	aver	1-4	avere
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
1	_	_	2-0	mh
0	2-0	bah	3-0	bah
0	2-1	eh	3-1	eh
1	2-2	{P}	_	_
2	2-3	sì	4-0	si
0	2-4	cioè	4-1	cioè
0	2-5	è	4-2	è
0	2-6	sempre	4-3	sempre
0	2-7	pieno	4-4	pieno
1	2-8	di	_	_
2	2-9	persone	4-5	dipersone
0	2-10	che	4-6	che
0	2-11	fanno	4-7	fanno
1	_	_	4-8	l'
2	2-12	emosina	4-9	elemosina
0	2-13	sotto	4-10	sotto
0	2-14	i	4-11	i
0	2-15	portici	4-12	portici
0	3-0	mhmh	5-0	mhmh
0	4-0	soprattutto	6-0	soprattutto
2	4-1	se	6-1	su
2	4-2	vieni	6-2	via
0	4-3	indipendenza	6-3	indipendenza
0	4-4	ce	6-4	ce
0	4-5	ne	6-5	ne
0	4-6	sono	6-6	sono
0	4-7	diversi	6-7	diversi
0	5-0	sì	7-0	sì
0	5-1	è	7-1	è
0	5-2	vero	7-2	vero
0	6-0	anche	8-0	anche
0	6-1	sotto	8-1	sotto
0	6-2	i	8-2	i
0	6-3	portici	8-3	portici
0	6-4	di	8-4	di
0	6-5	via	8-5	via
1	6-6	{P}	_	_
0	6-7	di	9-0	di
0	6-8	viale	9-1	viale
1	6-9	{P}	_	_
0	6-10	mh	10-0	mh
0	6-11	masini	10-1	masini
0	7-0	perché	11-0	perché
0	7-1	io	11-1	io
0	7-2	passo	11-2	passo
0	7-3	spesso	11-3	spesso
0	7-4	di	11-4	di
0	7-5	lì	11-5	lì
2	8-0	ehm	12-0	eh
0	9-0	però	13-0	però
1	9-1	a	_	_
2	9-2	parte	13-1	apparte
0	9-3	insomma	13-2	insomma
0	9-4	persone	13-3	persone
0	9-5	che	13-4	che
0	9-6	fanno	13-5	fanno
0	9-7	l'	13-6	l'
0	9-8	elemosina	13-7	elemosina
1	9-9	si	_	_
2	10-0	mhmh	13-8	sì
0	11-0	mh	13-9	mh
0	11-1	ah	13-10	ah
1	11-2	{P}	_	_
0	11-3	incontri	13-11	incontri
0	11-4	anche	13-12	anche
0	11-5	molte	13-13	molte
0	11-6	persone	13-14	persone
0	11-7	che	13-15	che
0	11-8	ti	13-16	ti
0	11-9	fermano	13-17	fermano
0	11-10	per	13-18	per
1	_	_	14-0	mhmh
0	12-0	sì	15-0	sì
1	12-1	{ride}	_	_
2	12-2	esatto	16-0	per
0	13-0	chiederti	16-1	chiederti
0	13-1	di	16-2	di
0	13-2	fare	16-3	fare
2	13-3	beneficenza	16-4	beneficienza
0	13-4	{ride}	16-5	{ride}
0	13-5	le	16-6	le
0	13-6	classiche	16-7	classiche
0	13-7	persone	16-8	persone
0	13-8	che	16-9	che
0	13-9	sono	16-10	sono
0	13-10	sotto	16-11	sotto
2	13-11	i	16-12	ai
0	13-12	portici	16-13	portici
1	_	_	17-0	{ride}
1	_	_	17-1	esatto
1	_	_	18-0	eh
2	14-0	ehm	18-1	mh
0	15-0	a	18-2	a
0	15-1	volte	18-3	volte
1	15-2	{P}	_	_
0	15-3	persone	18-4	persone
0	15-4	famose	18-5	famose
0	15-5	ogni	18-6	ogni
0	15-6	tanto	18-7	tanto
0	15-7	una	18-8	una
0	15-8	volta	18-9	volta
1	_	_	18-10	ho
0	15-9	incontrato	18-11	incontrato
0	15-10	piff	18-12	piff
0	15-11	ad	18-13	ad
0	15-12	esempio	18-14	esempio
0	16-0	ah	19-0	ah
2	16-1	sì	19-1	ah
2	16-2	sì	19-2	ah
2	16-3	sì	19-3	sìsìsì
0	17-0	eh	20-0	eh
1	17-1	so	_	_
1	17-2	che	_	_
1	17-3	era	_	_
2	17-4	in	20-1	x
0	17-5	un	20-2	un
0	17-6	hotel	20-3	hotel
0	17-7	che	20-4	che
0	17-8	è	20-5	è
0	17-9	lì	20-6	lì
0	17-10	su	20-7	su
0	17-11	via	20-8	via
0	17-12	indipendenza	20-9	indipendenza
0	18-0	anche	21-0	anche
0	18-1	cremonini	21-1	cremonini
0	18-2	dicono	21-2	dicono
0	18-3	che	21-3	che
0	18-4	si	21-4	si
1	_	_	21-5	aspetti
1	_	_	21-6	x
1	_	_	21-7	neanche
1	_	_	21-8	io
1	_	_	21-9	mai
2	18-5	aspettano	22-0	cremoni-
0	19-0	eh	22-1	eh
0	19-1	non	22-2	non
1	_	_	22-3	l'
0	19-2	ho	22-4	ho
0	19-3	ancora	22-5	ancora
0	19-4	incontrato	22-6	incontrato
1	19-5	i	_	_
0	19-6	cremonini	22-7	cremonini
0	19-7	{ride}	22-8	{ride}
1	20-0	x	_	_
1	20-1	neanche	_	_
1	20-2	io	_	_
1	20-3	x	_	_
0	21-0	però	23-0	però
2	21-1	x	23-1	in
2	21-2	sì	23-2	questi
0	21-3	tre	23-3	tre
0	21-4	anni	23-4	anni
0	21-5	perché	23-5	perché
0	21-6	io	23-6	io
0	21-7	sono	23-7	sono
0	21-8	dal	23-8	dal
0	21-9	duemiladiciotto	23-9	duemiladiciotto
2	21-10	diciannove	23-10	x
0	21-11	sì	23-11	sì
0	21-12	tre	23-12	tre
0	21-13	anni	23-13	anni
0	21-14	che	23-14	che
0	21-15	sono	23-15	sono
0	21-16	lì	23-16	lì
0	21-17	non	23-17	non
0	21-18	ho	23-18	ho
0	21-19	ancora	23-19	ancora
0	21-20	incrociato	23-20	incrociato
0	21-21	cremonini	23-21	cremonini
1	_	_	23-22	{ride}
2	22-0	beh	24-0	vabbè
0	22-1	magari	24-1	magari
0	22-2	dai	24-2	dai
0	22-3	quest'	24-3	quest'
0	22-4	anno	24-4	anno
0	22-5	sarà	24-5	sarà
1	22-6	{ride}	_	_
0	22-7	l'	24-6	l'
0	22-8	anno	24-7	anno
0	22-9	buono	24-8	buono
1	23-0	{ride}	_	_
0	23-1	ma	25-0	ma
0	23-2	sì	25-1	sì
1	_	_	25-2	chissà
2	23-3	x	25-3	infatti
0	23-4	infatti	25-4	infatti
2	24-0	e	26-0	eh
0	24-1	anche	26-1	anche
1	24-2	ehm	_	_
1	24-3	{P}	_	_
0	24-4	per	26-2	per
0	24-5	il	26-3	il
0	24-6	fatto	26-4	fatto
0	24-7	che	26-5	che
0	24-8	hanno	26-6	hanno
0	24-9	messo	26-7	messo
0	24-10	le	26-8	le
0	24-11	luci	26-9	luci
0	24-12	con	26-10	con
0	24-13	le	26-11	le
0	24-14	scritte	26-12	scritte
0	24-15	delle	26-13	delle
