match	id_A	token_A	id_B	token_B
2	1-0	eh	1-0	e
0	1-1	come	1-1	come
0	1-2	tabacco	1-2	tabacco
0	1-3	no	1-3	no
2	1-4	eh	1-4	e
0	1-5	di	1-5	di
0	1-6	là	1-6	là
0	1-7	lavorando	1-7	lavorando
0	1-8	più	1-8	più
0	1-9	di	1-9	di
1	_	_	1-10	tre
1	_	_	1-11	{P}
1	_	_	1-12	tre
2	1-10	tre-tremi:la	1-13	mila
0	1-11	persone	1-14	persone
0	1-12	non	1-15	non
0	1-13	sono	1-16	sono
0	1-14	esattamente	1-17	esattamente
0	1-15	o	1-18	o
0	1-16	tremila	1-19	tremila
0	1-17	o	1-20	o
0	1-18	trentamila	1-21	trentamila
0	1-19	ma	1-22	ma
0	1-20	tremila	1-23	tremila
1	_	_	2-0	okay
1	_	_	3-0	mhmh
1	_	_	4-0	mhmh
0	1-21	che	5-0	che
0	1-22	facciamo	5-1	facciamo
0	2-0	ma	6-0	ma
0	2-1	non	6-1	non
0	2-2	si	6-2	si
0	2-3	trovano	6-3	trovano
0	2-4	adesso	6-4	adesso
0	2-5	neanche	6-5	neanche
2	2-6	là	6-6	online
2	2-7	gli	6-7	li
0	2-8	appartamenti	6-8	appartamenti
0	3-0	eh	7-0	eh
0	3-1	esatto	7-1	esatto
0	3-2	te	7-2	te
0	3-3	lo	7-3	lo
1	3-4	era	_	_
0	3-5	{P}	7-4	{P}
1	_	_	7-5	era
0	3-6	questo	7-6	questo
0	3-7	che	7-7	che
0	3-8	volevo	7-8	volevo
0	3-9	chiederti	7-9	chiederti
0	3-10	perché	8-0	perché
2	4-0	eh	9-0	ah
0	4-1	sì	9-1	sì
0	5-0	se	10-0	se
0	5-1	tutti	10-1	tutti
0	5-2	vogliono	10-2	vogliono
0	5-3	vivere	10-3	vivere
0	5-4	lì	10-4	lì
0	6-0	sì	11-0	sì
1	_	_	11-1	{P}
0	6-1	non	11-2	non
0	6-2	si	11-3	si
0	6-3	trovano	11-4	trovano
0	6-4	appartamenti	11-5	appartamenti
1	_	_	11-6	a
1	_	_	11-7	dir
0	6-5	la	11-8	la
0	6-6	verità	11-9	verità
1	6-7	piuttosto	_	_
1	6-8	che	_	_
1	6-9	ci	_	_
1	6-10	sono	_	_
1	6-11	un	_	_
1	6-12	sacco	_	_
1	6-13	di	_	_
1	6-14	gente	_	_
