match	id_A	token_A	id_B	token_B
0	0-0	bene	0-0	bene
0	1-0	allora	1-0	allora
0	2-0	intanto	2-0	intanto
0	3-0	ero	3-0	ero
0	3-1	curiosa	3-1	curiosa
0	3-2	di	3-2	di
0	3-3	sapere	3-3	sapere
0	4-0	da	4-0	da
0	4-1	quanto	4-1	quanto
0	4-2	tempo	4-2	tempo
0	4-3	c'	4-3	c'
0	4-4	è	4-4	è
0	4-5	questo	4-5	questo
0	4-6	negozio	4-6	negozio
0	4-7	perché	4-7	perché
0	5-0	io	5-0	io
0	5-1	sono	5-1	sono
0	5-2	di	5-2	di
0	5-3	qui	5-3	qui
0	6-0	e	6-0	e
0	6-1	frequento	6-1	frequento
0	6-2	un	6-2	un
0	6-3	po'	6-3	po'
0	6-4	questa	6-4	questa
0	6-5	zona	6-5	zona
0	6-6	ma	6-6	ma
0	6-7	non	6-7	non
0	6-8	l'	6-8	l'
0	6-9	avevo	6-9	avevo
0	6-10	mai	6-10	mai
0	6-11	visto	6-11	visto
0	7-0	no	7-0	no
1	_	_	7-1	{P}
1	_	_	7-2	eh
0	7-1	non	7-3	non
0	7-2	è	7-4	è
0	7-3	così	7-5	così
0	8-0	stranamente	8-0	stranamente
0	9-0	questo	9-0	questo
0	9-1	negozio	9-1	negozio
1	_	_	9-2	{P}
0	9-2	è	9-3	è
0	9-3	già	9-4	già
1	_	_	9-5	{P}
0	9-4	da	9-6	da
0	9-5	ventidue	9-7	ventidue
0	9-6	anni	9-8	anni
0	10-0	okay	10-0	okay
1	10-1	quindi	_	_
1	10-2	non	_	_
1	10-3	è	_	_
1	10-4	nuovo	_	_
0	11-0	sono	11-0	sono
0	11-1	qui	11-1	qui
0	11-2	da	11-2	da
0	11-3	sei	11-3	sei
0	11-4	anni	11-4	anni
0	11-5	no	11-5	no
0	11-6	no	11-6	no
2	11-7	no	11-7	n-
0	11-8	questo	11-8	questo
0	11-9	qua	11-9	qua
0	11-10	non	11-10	non
0	11-11	è	11-11	è
0	11-12	nuovo	11-12	nuovo
1	_	_	11-13	è
0	11-13	di	11-14	di
0	11-14	prima	11-15	prima
0	11-15	era	11-16	era
0	11-16	una	11-17	una
1	_	_	11-18	calatrice
1	_	_	11-19	vaiesi
1	_	_	12-0	quindi
1	_	_	12-1	non
1	_	_	12-2	è
2	11-17	nomenegozio	12-3	nuovo
0	12-0	poi	13-0	poi
0	12-1	hanno	13-1	hanno
0	12-2	chiuso	13-2	chiuso
0	12-3	allora	13-3	allora
1	_	_	13-4	ci
2	12-4	già	13-5	ha
0	12-5	comprato	13-6	comprato
0	12-6	un'	13-7	un'
0	12-7	altra	13-8	altra
0	12-8	persona	13-9	persona
0	12-9	e	13-10	e
2	12-10	è	13-11	ha
0	12-11	fatta	13-12	fatta
0	12-12	copisteria	13-13	copisteria
0	13-0	okay	14-0	okay
0	14-0	poi	15-0	poi
0	14-1	io	15-1	io
0	14-2	sono	15-2	sono
0	14-3	da	15-3	da
0	14-4	terza	15-4	terza
0	14-5	mano	15-5	mano
0	14-6	che	15-6	che
2	14-7	i-	15-7	i
0	14-8	andando	15-8	andando
0	14-9	avanti	15-9	avanti
1	_	_	16-0	mh
2	15-0	mhmh	16-1	mh
0	15-1	okay	17-0	okay
0	16-0	mh	18-0	mh
0	16-1	noi	19-0	noi
2	16-2	siamo	19-1	siam
2	16-3	venuti	19-2	venute
0	16-4	qui	19-3	qui
0	16-5	a	19-4	a
0	16-6	chiedere	19-5	chiedere
0	16-7	a	19-6	a
0	16-8	te	19-7	te
0	16-9	la	19-8	la
0	16-10	disponibilità	19-9	disponibilità
0	16-11	perché	19-10	perché
1	_	_	20-0	il
2	16-12	il-	20-1	la
2	16-13	l-	20-2	il
0	16-14	la	20-3	la
0	16-15	verità	20-4	verità
0	16-16	è	20-5	è
0	16-17	che	20-6	che
0	16-18	siamo	20-7	siamo
0	16-19	andati	20-8	andati
0	16-20	alla	20-9	alla
0	16-21	copisteria	20-10	copisteria
0	16-22	di	20-11	di
1	_	_	20-12	via
1	_	_	20-13	del
2	16-23	nomeluogo	20-14	guasto
0	17-0	sì	21-0	sì
0	18-0	a	22-0	a
0	18-1	chiedere	22-1	chiedere
1	_	_	23-0	mh
2	19-0	mhmh	23-1	mh
0	20-0	e	24-0	e
0	20-1	i	24-1	i
0	20-2	ragazzi	24-2	ragazzi
0	20-3	ci	24-3	ci
0	20-4	hanno	24-4	hanno
0	20-5	detto	24-5	detto
1	_	_	24-6	{P}
0	20-6	che	24-7	che
0	20-7	dovevamo	24-8	dovevamo
0	20-8	assolutamente	24-9	assolutamente
0	20-9	venire	24-10	venire
0	20-10	da	24-11	da
0	20-11	te	24-12	te
0	21-0	beh	25-0	beh
0	21-1	eh	25-1	eh
0	21-2	sì	25-2	sì
0	21-3	perché	25-3	perché
0	21-4	loro	25-4	loro
0	21-5	non	25-5	non
0	21-6	è	25-6	è
0	21-7	non	25-7	non
0	21-8	è	25-8	è
2	21-9	mh	25-9	un
2	21-10	abbas-	25-10	abbasta-
0	21-11	cioè	25-11	cioè
0	21-12	loro	25-12	loro
0	21-13	non	25-13	non
1	21-14	mh	_	_
0	21-15	loro	25-14	loro
0	21-16	sono	25-15	sono
0	21-17	bravi	25-16	bravi
0	21-18	ma	25-17	ma
0	21-19	non	25-18	non
0	21-20	sono	25-19	sono
0	21-21	bravi	25-20	bravi
0	21-22	per	25-21	per
0	22-0	rispondere	26-0	rispondere
0	22-1	a	26-1	a
0	22-2	un	26-2	un
0	22-3	sacco	26-3	sacco
0	22-4	di	26-4	di
0	22-5	domande	26-5	domande
0	22-6	che	26-6	che
0	22-7	anche	26-7	anche
1	_	_	26-8	{P}
0	22-8	non	26-9	non
0	22-9	sono	26-10	sono
0	22-10	bravi	26-11	bravi
1	_	_	26-12	{P}
0	22-11	in	26-13	in
0	22-12	italiano	26-14	italiano
0	22-13	pro-	26-15	pro-
1	22-14	in	_	_
